Console,Title,Licensee,Released
GBC,Tony Hawk's Pro Skater,Activision,2000-03-01
GBC,Tony Hawk's Pro Skater 2,Activision,2000-11-01
GBC,Tony Hawk's Pro Skater 3,Activision,2001-11-01
GBC,Toobin',Midway,2000-05-01
GBC,Toonsylvania,Ubi Soft,2000-06-01
GBC,Top Gear Pocket,Kemco,1999-04-01
GBC,Towers: Lord Baniff's Deceit,Vatical Entertainment,2000-06-01
GBC,Trick Boarder,Natsume,2000-06-01
GBC,Trouballs,Capcom,2001-10-01
GBC,Turok 3: Shadow of Oblivion,Acclaim,2000-07-01
GBC,Turok: Rage Wars,Acclaim,2000-06-01
GBC,Tweety's High Flying Adventure,Kemco,2000-11-01
GBC,Ultimate Fighting Championship,Crave Entertainment,2000-11-01
GBC,Ultimate Paintball,Majesco,2000-09-01
GBC,V-Rally,Infogrames,1999-06-01
GBC,Vegas Games,3DO,2000-02-01
GBC,Vigilante 8,Vatical Entertainment,1999-12-01
GBC,VIP,Ubi Soft,
GBC,Wacky Races,Infogrames,2000-06-01
GBC,Walt Disney Magical Raing Tour,Activision,2000-12-01
GBC,Wario Land 3,Nintendo,2000-05-01
GBC,Warlocked,Nintendo,2000-07-01
GBC,Warriors of Might and Magic,3DO,2000-12-01
GBC,WCW Mayhem,Electronic Arts,2000-04-01
GBC,Wendy: Every Witch Way,TDK Mediactive,2001-09-01
GBC,Who Wants To Be A Millionaire: 2,THQ,2000-09-01
GBC,Wild Thornberry's Rambler,Mattel,2000-11-01
GBC,Winnie the Pooh,NewKidco,2000-04-01
GBC,Woody Woodpecker,Dreamcatcher Interactive,2001-09-01
GBC,Woody Woodpecker Racing,Konami,2000-12-01
GBC,World Destruction League: Thunder Tanks,3DO,2000-12-01
GBC,Worms: Armageddon,Infogrames,2000-01-01
GBC,WWF: Attitude,Acclaim,1999-06-01
GBC,WWF: Betrayal,Acclaim,2001-08-01
GBC,X-Men Mutant Academy,Activision,2000-07-01
GBC,X-Men Mutant Wars,Activision,2000-11-01
GBC,X-Men: Wolverine's Rage,Activision,2001-05-01
GBC,X-Treme Sports,Infogrames,2000-06-01
GBC,X-Treme Wheels,Bay Area Multimedia,2001-05-01
GBC,Xena: Warrior Princess,Interplay,2001-08-01
GBC,Yogi Bear: Great Balloon Blast,Bay Area Multimedia,2000-12-01
GBC,Zebco Fishing,Vatical Entertainment,1999-09-01
GBC,Zoboomafoo: Playtime in Zobooland,Encore,2001-10-01
