Console,Title,Licensee,Released
NES,F-15 Strike Eagle,Microprose,1992-02-01
NES,Family Feud,Gametek,1991-05-01
NES,Faria: A World of Mystery & Danger,Ascii,1991-06-01
NES,Faxanadu,Nintendo,1989-08-01
NES,Felix the Cat,Hudson Soft,1992-10-01
NES,Ferrari Grand Prix Challenge,Acclaim,1992-06-01
NES,Fester's Quest,Sunsoft,1989-09-01
NES,Final Fantasy,Nintendo,1990-05-01
NES,Fire 'N Ice,Tecmo,1993-03-01
NES,Fisher Price: Firehouse Rescue,Gametek,1992-03-01
NES,Fisher Price: I Can Remember,Gametek,1990-03-01
NES,Fisher Price: Perfect Fit,Gametek,1990-03-01
NES,Fist of the North Star,Taxan,1989-04-01
NES,Flight of the Intruder,Mindscape,1991-05-01
NES,Flying Dragon: The Secret Scroll,Culture Brain,1989-08-01
NES,Flying Warriors,Culture Brain,1991-02-01
NES,Formula 1: Built to Win,Seta,1990-11-01
NES,Frankenstein: The Monster Returns,Bandai,1991-07-01
NES,Freedom Force,Sunsoft,1988-04-01
NES,Friday the 13th,LJN,1989-02-01
NES,Fun House,Hi-Tech,1991-01-01
NES,G.I. Joe,Taxan,1991-01-01
NES,G.I. Joe: The Atlantis Factor,Capcom,1992-03-01
NES,Galaga,Bandai,1988-09-01
NES,Galaxy 5000,Activision,1991-02-01
NES,Gargoyle's Quest II,Capcom,1992-10-01
NES,Gauntlet II,Mindscape,1990-09-01
NES,Gemfire,Koei,1992-03-01
NES,Genghis Khan,Koei,1990-01-01
NES,George Foreman's KO Boxing,Acclaim,1992-12-01
NES,Ghostbusters,Activision,1988-10-01
NES,Ghostbusters II,Activision,1990-04-01
NES,Ghosts 'N Goblins,Capcom,1986-11-01
NES,Ghoul School,Electro Brain,1992-03-01
NES,Goal!,Jaleco,1989-10-01
NES,Goal! Two,Jaleco,1992-11-01
NES,Godzilla,Toho,1989-10-01
NES,Godzilla 2: War of the Monsters,Toho,1992-02-01
NES,Gold Medal Challenge '92,Capcom,1992-08-01
