Console,Title,Licensee,Released
GB,Faceball 2000,Bullet Proof Software,1991-12-01
GB,Fastest Lap,NTVIC,1992-02-01
GB,Felix the Cat,Hudson Soft,1993-07-01
GB,Ferrari Grand Prix Challenge,Acclaim,1992-09-01
GB,FIFA International Soccer,Malibu Games,1995-02-01
GB,FIFA Road to World Cup '98,THQ,1997-12-01
GB,FIFA Soccer '96,Black Pearl Software,1995-12-01
GB,FIFA Soccer '97,THQ,1996-11-01
GB,Fighting Simulator 2-in-1,Culture Brain,1992-04-01
GB,Final Fantasy Adventure,Square Soft,1991-11-01
GB,Final Fantasy Legend,Square Soft,1990-09-01
GB,Final Fantasy Legend II,Square Soft,1991-11-01
GB,Final Fantasy Legend III,Square Soft,1993-08-01
GB,Fish Dude,Sofel,1991-04-01
GB,Fist of the North Star,Electro Brain,1990-04-01
GB,Flipull,Taito Software,1990-04-01
GB,Foreman For Real,Acclaim,1995-09-01
GB,Fortified Zone,Jaleco,1991-09-01
GB,Frank Thomas' Big Hurt Baseball,Acclaim,1995-12-01
GB,Frogger,Majesco,1998-08-01
GB,Game & Watch Gallery,Nintendo,1997-05-01
GB,Game & Watch Gallery 2,Nintendo,1998-11-01
GB,Game & Watch Gallery 3,Nintendo,1999-12-01
GB,Gargoyle's Quest,Capcom,1990-07-01
GB,Gauntlet II,Mindscape,1991-09-01
GB,Gear Works,Sony Imagesoft,1993-10-01
GB,George Foreman's KO Boxing,Acclaim,1992-09-01
GB,Gex 3: Deep Pocket Gecko,Eidos Interactive,1999-12-01
GB,Gex: Enter the Gecko,Crave Entertainment,1998-12-01
GB,Ghostbusters II,Activision,1990-12-01
GB,Ghosts 'N Goblins,Capcom,2000-01-01
GB,Go! Go! Tank,Electro Brain,1991-05-01
GB,Goal!,Jaleco,1993-08-01
GB,Godzilla,Crave Entertainment,1999-12-01
GB,Godzilla,Toho,1990-10-01
GB,Golf,Nintendo,1990-02-01
GB,Gradius: The Interstellar Assault,Konami,1992-01-01
GB,Grand Theft Auto,Take 2 Interactive,1999-11-01
GB,Great Greed,Namco,1993-04-01
GB,Gremlins 2: The New Batch,Sunsoft,1991-01-01
GB,Hal Wrestling,Hal America,1990-12-01
GB,Harvest Moon 2,Natsume,2000-11-01
GB,Harvest Moon GB,Natsume,1998-08-01
GB,Hatris,Bullet Proof Software,1991-05-01
GB,Heavyweight Championship Boxing,Activision,1990-09-01
GB,Heiankyo Alien,Meldac,1990-04-01
GB,Hello Kitty's Cube Frenzy,Newkidco,1999-12-01
GB,Hercules,THQ,1997-07-01
GB,Hexcite,UBI Soft,1999-01-01
GB,High Stakes Gambling,Electro Brain,1992-06-01
GB,Hit the Ice,Taito Software,1992-10-01
GB,Hole In One Golf,Natsume,1999-08-01
GB,Home Alone,THQ,1991-11-01
GB,Home Alone II: Lost in New York,THQ,1992-10-01
GB,Hook,Sony Imagesoft,1992-04-01
GB,Hot Wheels Stunt Track Driver,Mattel,2000-01-01
GB,Hudson Hawk,Sony Imagesoft,1991-12-01
GB,Hyper Lode Runner,Bandai,1990-02-01
GB,In Your Face,Jaleco,1990-12-01
GB,Indiana Jones and the Last Crusade,UBI Soft,1994-07-01
GB,Infogenius French Language Translator,Gametek,1991-09-01
GB,Infogenius Personal Organizer,Gametek,1991-09-01
GB,Infogenius Spanish Language Translator,Gametek,1991-09-01
GB,Infogenius Spell Checker,Gametek,1991-09-01
GB,Infogenius Travel Guide,Gametek,1991-09-01
GB,International Rally,Konami,2000-09-01
GB,International Superstar Soccer,Konami,1998-10-01
GB,International Track and Field 2000,Konami,2000-01-01
GB,Iron Man/X-O Manowar: in Heavy Metal,Acclaim,1996-08-01
GB,Ishido: The Way of Stones,Ascii,1990-11-01
GB,Itchy & Scratchy in Miniature Golf Madness,Acclaim,1994-11-01
GB,Jack Nicklaus Golf,Tradewest,1992-05-01
GB,James Bond 007,Nintendo,1998-02-01
GB,Jeep Jamboree: Off Road Adventure,Virgin Interactive,1992-07-01
GB,Jeff Gordon XS Racing,American Softworks,1999-11-01
GB,Jeopardy!,Gametek,1991-03-01
GB,Jeopardy! Platinum Edition,Gametek,1996-12-01
GB,Jeopardy! Sports Edition,Gametek,1994-05-01
GB,Jeopardy! Teen Tournament,Gametek,1996-12-01
GB,Jimmy Connors Tennis,UBI Soft,1998-05-01
GB,Joe & Mac,Data East,1993-06-01
GB,John Madden Football '95,THQ,1994-11-01
GB,Jordan vs. Bird,EA Sports,1992-02-01
GB,Judge Dredd,Acclaim,1995-06-01
GB,Jungle Strike,Malibu Games,1995-06-01
GB,Jurassic Park,Ocean,1993-08-01
GB,Jurassic Park 2,Ocean,1994-12-01
GB,Ken Griffey Jr. Presents: Major League Baseball,Nintendo,1997-10-01
GB,Kid Dracula,Konami,1993-03-01
GB,Kid Icarus: Of Myths and Monsters,Nintendo,1991-11-01
GB,Killer Instinct,Nintendo,1995-11-01
GB,King of Fighters '95,Nintendo,1997-02-01
GB,Kingdom Crusade,Electro Brain,1992-11-01
GB,Kirby's Block Ball,Nintendo,1996-05-01
GB,Kirby's Dream Land,Nintendo,1992-08-01
GB,Kirby's Dream Land 2,Nintendo,1995-05-01
GB,Kirby's Pinball Land,Nintendo,1993-11-01
GB,Kirby's Star Stacker,Nintendo,1997-04-01
GB,Klax,Mindscape,1991-07-01
GB,Klustar,Infogrames,1999-07-01
GB,Klustar,Infogrames,1999-07-01
GB,Knight's Quest,Taito Software,1992-07-01
GB,Krusty's Funhouse,Acclaim,1993-01-01
GB,Kung Fu Master,Irem,1991-02-01
GB,Kwirk,Acclaim,1990-03-01
GB,Lamborghini American Challenge,Titus,1994-05-01
GB,Las Vegas Cool Hand,Take 2 Interactive,1998-12-01
GB,Last Action Hero,Sony Imagesoft,1993-10-01
GB,Lazlo's Leap,DTMC,1992-10-01
GB,Legend of the River King,Natsume,1998-08-01
GB,Legend of the River King 2,Natsume,2001-05-01
GB,Lemmings,Ocean,1994-08-01
GB,Lethal Weapon,Ocean,1993-04-01
GB,Lock 'N Chase,Data East,1990-07-01
GB,Logical,Sunsoft,1999-04-01
GB,"Looney Toons: ""Carrot Crazy""",Infogrames,1999-01-01
GB,"Looney Toons: ""Twouble""",Infogrames,1998-12-01
GB,Looney Tunes,Sunsoft,1992-10-01
GB,LoopZ,Mindscape,1991-03-01
GB,Madden '96,Black Pearl Software,1995-10-01
GB,Madden '97,THQ,1996-11-01
GB,Madden NFL 2000,EA Sports,1999-11-01
GB,Malibu Beach Volleyball,Activision,1990-03-01
GB,Marble Madness,Mindscape,1991-05-01
GB,Mario's Picross,Nintendo,1995-03-01
GB,Maru's Mission,Jaleco,1991-03-01
GB,Mary Kate and Ashley Pocket Planner,Acclaim,2000-11-01
GB,Mary Kate and Ashley: Get a Clue,Acclaim,2000-06-01
GB,Matchbox Caterpillar Construction,Mattel,2000-01-01
GB,Maui Mallard in Dark Shadow,Sunsoft,1998-08-01
GB,Mega Man II,Nintendo,1992-02-01
GB,Mega Man III,Capcom,1992-12-01
GB,Mega Man IV,Capcom,1993-12-01
GB,Mega Man V,Capcom,1994-09-01
GB,Mega Man X-Treme,Capcom,2001-01-01
GB,Mega Man: Dr. Wily's Revenge,Nintendo,1991-12-01
GB,Megalit,Takara,1992-12-01
GB,Men in Black: The Series,Crave Entertainment,1998-12-01
GB,Mercenary Force,Meldac,1990-10-01
GB,Metal Masters,Electro Brain,1994-12-01
GB,Metal Walker,Capcom,2001-02-01
GB,Metroid II: Return of Samus,Nintendo,1991-11-01
GB,Mickey Mouse Magic Wands,Nintendo,1998-05-01
GB,Mickey's Dangerous Chase,Nintendo,1991-05-01
GB,Mickey's Ultimate Challenge,Hi-Tech,1994-05-01
GB,Micro Machines,Ocean,1995-01-01
GB,Mighty Morphin Power Rangers - The Movie,Bandai,1995-08-01
GB,Mighty Morphin' Power Rangers,Bandai,1994-08-01
GB,Milon's Secret Castle,Hudson Soft,1993-03-01
GB,Miner 2049er,Mindscape,1992-10-01
GB,Missile Command,Accolade,1992-03-01
GB,Mole Mania,Nintendo,1997-02-01
GB,Monopoly,Parker Brothers,1991-12-01
GB,Monster Max,Titus,1995-01-01
GB,Monster Rancher Battle Card Edition,Tecmo,2000-04-01
GB,Montezuma's Return,Take 2 Interactive,1998-12-01
GB,Mortal Kombat,Acclaim,1993-09-01
GB,Mortal Kombat I & II (2-in-1),Midway,1997-11-01
GB,Mortal Kombat II,Acclaim,1994-09-01
GB,Mortal Kombat III,Midway,1995-11-01
GB,Mortal Kombat IV,Midway,1998-12-01
GB,Motocross Maniacs,Ultra Soft,1990-01-01
GB,Mouse Trap Hotel,Milton Bradley,1992-10-01
GB,Mr. Chin's Gourmet Paradise,Romstar,1990-10-01
GB,Mr. Do!,Ocean,1992-11-01
GB,Ms. Pac Man,Namco,1993-10-01
GB,Ms. Pac Man Special Color Edition,Namco,1999-11-01
GB,Muhammad Ali Heavyweight Boxing,Virgin Interactive,1993-07-01
GB,Mysterium,Asmik,1991-07-01
GB,Mystical Ninja Starring Goemon,Konami,1998-04-01
GB,Nail 'N Scale,Data East,1992-04-01
GB,Navy Seals,Ocean,1991-09-01
GB,NBA 3 on 3 Featuring Kobe Bryant,Nintendo,1999-12-01
GB,NBA All-Star Challenge,LJN,1991-02-01
GB,NBA All-Star Challenge 2,LJN,1992-05-01
GB,NBA In The Zone '99,Konami,1999-05-01
GB,NBA Jam,LJN,1994-11-01
GB,NBA Jam '99,Acclaim,1999-04-01
GB,NBA Jam Tournament Edition,Acclaim,1995-06-01
GB,NBA Live '96,Black Pearl Software,1996-03-01
GB,Nemesis,Ultra Soft,1990-04-01
GB,NFL Blitz,Midway,1998-12-01
GB,NFL Football,Konami,1990-04-01
GB,NFL Quarterback Club,LJN,1993-11-01
GB,NFL Quarterback Club '96,Acclaim,1995-10-01
GB,NFL Quarterback Club 2,LJN,1995-03-01
GB,NHL '96,Black Pearl Software,1996-07-01
GB,NHL 2000,THQ,2000-02-01
GB,NHL Hockey '95,Malibu Games,1995-06-01
GB,Nigel Mansell's World Championship Racing,Gametek,1993-08-01
GB,Ninja Boy,Culture Brain,1990-11-01
GB,Ninja Boy 2,Culture Brain,1993-04-01
GB,Ninja Gaiden Shadow,Tecmo,1991-12-01
GB,Ninja Taro,American Sammy,1992-09-01
GB,Nintendo World Cup Soccer,Nintendo,1991-06-01
GB,Nobunaga's Ambition,Koei,1991-03-01
GB,Oddworld Adventures 2,GT Interactive,2000-01-01
GB,Oddworld: Abe's Adventure,GT Interactive,1998-12-01
GB,Olympic Summer Games,Black Pearl Software,1996-06-01
GB,Operation C,Ultra Soft,1991-02-01
GB,Out of Gas,FCI,1992-10-01
GB,Pac Man,Namco,1991-04-01
GB,Pac Man Special Color Edition,Namco,1999-08-01
GB,Pac-Attack,Namco,1994-12-01
GB,Pac-in-Time,Namco,1995-02-01
GB,Panel Action Bingo,FCI,1993-11-01
GB,Paperboy,Mindscape,1990-07-01
GB,Paperboy 2,Mindscape,1992-04-01
GB,Penguin Wars,Ascii,1990-07-01
GB,PGA European Tour,Malibu Games,1995-04-01
GB,PGA Tour '96,Black Pearl Software,1995-11-01
GB,Pinball Dreams,Gametek,1993-08-01
GB,Pinball Fantasies,Gametek,1995-02-01
GB,Pipe Dream,Bullet Proof Software,1990-09-01
GB,Pit-Fighter,THQ,1992-06-01
GB,Pitfall: Beyond the Jungle,Crave Entertainment,1998-12-01
GB,Play Action Football,Nintendo,1990-12-01
GB,Pocahontas,Black Pearl Software,1996-04-01
GB,Pocket Bomberman,Nintendo,1998-11-01
GB,Pocket Bowling,Jaleco,1999-08-01
GB,Pokemon,Nintendo,1998-09-01
GB,Pokemon Gold,Nintendo,2000-10-01
GB,Pokemon Pinball,Nintendo,1999-06-01
GB,Pokemon Silver,Nintendo,2000-10-01
GB,Pokemon Trading Card Game,Nintendo,2000-04-01
GB,Pokemon Yellow,Nintendo,1999-10-01
GB,Popeye II,Activision,1993-10-01
GB,Power Mission,NTVIC,1991-01-01
GB,Power Quest,Sunsoft,1998-12-01
GB,Power Racer,Tecmo,1990-12-01
GB,Prehistorik Man,Titus,1996-01-01
GB,Primal Rage,Time Warner,1995-07-01
GB,Prince of Persia,Virgin Interactive,1992-01-01
GB,Prophecy: The Viking Child,Gametek,1992-07-01
