Console,Title,Licensee,Released
SNES,Joe & Mac: Caveman Ninjas,Data East,1992-01-01
SNES,John Madden Football '93,EA Sports,1992-11-01
SNES,John Madden's Football,EA Sports,1991-11-01
SNES,Judge Dredd,Acclaim,1995-06-01
SNES,Jungle Strike,Electronic Arts,1995-06-01
SNES,Jurassic Park,Majesco,1993-11-01
SNES,Jurassic Park 2: The Chaos Continues,Ocean,1994-11-01
SNES,Justice League Task Force,Acclaim,1995-06-01
SNES,Kablooey,Kemco,1992-08-01
SNES,Kawasaki Caribbean Challenge,Gametek,1993-06-01
SNES,Kawasaki Superbike Challenge,Time Warner,1995-12-01
SNES,Ken Griffey Jr. Presents: Major League Baseball,Nintendo,1994-03-01
SNES,Ken Griffey Jr.'s Winning Run,Nintendo,1996-06-01
SNES,Kendo Rage,Seta,1993-10-01
SNES,Kid Klown in Crazy Chase,Kemco,1994-09-01
SNES,Killer Instinct,Nintendo,1995-08-01
SNES,King Arthur & the Knights of Justice,Enix,1995-07-01
SNES,King Arthur's World,Jaleco,1993-03-01
SNES,King of Dragons,Capcom,1994-04-01
SNES,King of the Monsters,Takara,1992-10-01
SNES,King of the Monsters II,Takara,1994-06-01
SNES,Kirby Super Star,Nintendo,1996-09-01
SNES,Kirby's Avalanche,Nintendo,1995-02-01
SNES,Kirby's Dream Course,Nintendo,1995-02-01
SNES,Kirby's Dream Land 3,Nintendo,1997-11-01
SNES,Knights of the Round,Capcom,1994-04-01
SNES,Krusty's Super Fun House,Acclaim,1992-06-01
SNES,Kyle Petty's No Fear Racing,Midway,1995-04-01
SNES,Lagoon,Seika,1991-12-01
SNES,Lamborghini American Challenge,Titus,1993-11-01
SNES,Last Action Hero,Sony Imagesoft,1993-10-01
SNES,Legend,Seika,1994-04-01
SNES,Lemmings,Sunsoft,1992-03-01
SNES,Lemmings 2: The Tribes,Psygnosis,1994-11-01
SNES,Lester the Unlikely,DTMC,1994-01-01
SNES,Lethal Enforcers,Konami,1994-01-01
SNES,Lethal Weapon,Ocean,1992-12-01
SNES,Liberty or Death,Koei,1994-04-01
SNES,Lock On,Vic Tokai,1993-10-01
SNES,Looney Tunes B-Ball!,Acclaim,1995-02-01
SNES,Lufia & The Fortress of Doom,Taito Software,1993-12-01
SNES,Lufia 2: Rise of the Sinistrals,Natsume,1996-08-01
SNES,Madden '96,EA Sports,1995-11-01
SNES,Madden NFL 94,EA Sports,1993-10-01
SNES,Madden NFL 95,EA Sports,1994-11-01
SNES,Madden NFL 97,Electronic Arts,1996-10-01
SNES,Madden NFL 98,THQ,1997-11-01
SNES,Magic Boy,JVC,1996-08-01
SNES,Magic Sword,Capcom,1992-08-01
SNES,Mario is Missing!,Software Toolworks,1993-06-01
SNES,Mario Paint,Nintendo,1992-08-01
SNES,Mario's Early Years: Fun with Letters,Software Toolworks,1994-10-01
SNES,Mario's Early Years: Fun with Numbers,Software Toolworks,1994-09-01
SNES,Mario's Early Years: Pre-School,Mindscape,1994-11-01
SNES,Mario's Time Machine,Mindscape,1993-12-01
SNES,Mark Davis': The Fishing Master,Natsume,1996-04-01
SNES,Marvel Super Heroes: War of the Gems,Capcom,1996-11-01
SNES,Mary Shelley's Frankenstein,Sony Imagesoft,1994-11-01
SNES,Math Blaster: Episode 1,Davidson Assoc.,1994-10-01
SNES,Maui Mallard in Cold Shadow,Nintendo,1996-11-01
SNES,Mecarobot Golf,Toho,1993-09-01
SNES,MechWarrior,Activision,1993-05-01
SNES,MechWarrior 3050,Activision,1995-10-01
SNES,Mega Man 7,Capcom,1995-09-01
SNES,Mega Man Soccer,Capcom,1994-04-01
SNES,Mega Man X,Majesco,1994-01-01
SNES,Mega Man X2,Capcom,1995-01-01
SNES,Mega Man X3,Capcom,1996-01-01
SNES,Metal Combat: Falcon's Revenge,Nintendo,1993-12-01
SNES,Metal Marines,Namco,1993-12-01
SNES,Metal Morph,FCI,1994-12-01
SNES,Metal Warriors,Konami,1995-04-01
SNES,Michael Andretti's Indy Car Challenge,Bullet Proof Software,1994-09-01
SNES,Michael Jordan in Chaos in the Windy City,Electronic Arts,1994-11-01
SNES,Mickey Mania: The Timeless Adventures of Mickey Mouse,Sony Imagesoft,1994-10-01
SNES,Mickey's Ultimate Challenge,Hi-Tech,1994-02-01
SNES,Micro Machines,Ocean,1994-12-01
SNES,Might & Magic III: Isles of Terra,FCI,1995-01-01
SNES,Mighty Max,Ocean,1995-02-01
SNES,Mighty Morphin Power Rangers,Bandai,1994-09-01
SNES,Mighty Morphin Power Rangers - The Movie,Bandai,1995-06-01
SNES,Mighty Morphin Power Rangers Fighting Edition,Bandai,1995-09-01
SNES,MLBPA Baseball,EA Sports,1994-03-01
SNES,Mohawk and Headphone Jack,Black Pearl Software,1996-08-01
SNES,Monopoly,Majesco,1992-09-01
SNES,Mortal Kombat,Acclaim,1993-09-01
SNES,Mortal Kombat II,Acclaim,1994-09-01
SNES,Mortal Kombat III,Midway,1995-10-01
SNES,Mountain Bike Rally,Life Fitness,1994-10-01
SNES,Mr. Do!,Black Pearl Software,1996-12-01
SNES,Mr. Nutz,Ocean,1994-08-01
SNES,Ms. Pac Man,Midway,1996-09-01
SNES,Musya: The Classic Japanese Tale of Horror,Seta,1992-12-01
SNES,Mutant Chronicles: Doomtroopers,Playmates,1995-11-01
SNES,Natsume Championship Wrestling,Natsume,1994-06-01
SNES,NBA All-Star Challenge,LJN,1992-12-01
SNES,NBA Give 'N Go,Konami,1995-11-01
SNES,NBA Hang Time,Midway,1996-11-01
SNES,NBA Jam,Acclaim,1994-03-01
SNES,NBA Jam Tournament Edition,Acclaim,1995-02-01
SNES,NBA Live '95,EA Sports,1994-10-01
SNES,NBA Live '96,EA Sports,1995-10-01
SNES,NBA Live '97,EA Sports,1996-12-01
SNES,NBA Live '98,THQ,1998-03-01
SNES,NBA Showdown,EA Sports,1993-10-01
SNES,NCAA Basketball,Nintendo,1992-10-01
SNES,NCAA Final Four Basketball,Mindscape,1995-02-01
SNES,NCAA Football,Mindscape,1994-10-01
SNES,Newman Haas' Indy Car Racing: Featuring Nigel Mansell,Acclaim,1994-11-01
SNES,NFL Football,Konami,1993-07-01
SNES,NFL MVP Football,Capcom,1993-10-01
SNES,NFL Quarterback Club,LJN,1994-12-01
SNES,NFL Quarterback Club '96,Acclaim,1995-11-01
SNES,NHL '94,EA Sports,1993-10-01
SNES,NHL '95,EA Sports,1994-11-01
SNES,NHL '96,EA Sports,1995-09-01
SNES,NHL '97,Black Pearl Software,1996-10-01
SNES,NHL '98,THQ,1997-12-01
SNES,NHL Stanley Cup,Nintendo,1993-11-01
SNES,NHLPA Hockey '93,EA Sports,1992-12-01
SNES,Nickelodeon GUTS,Viacom New Media,1994-11-01
SNES,Nigel Mansell's World Championship Racing,Gametek,1993-07-01
SNES,Ninja Gaiden Trilogy,Tecmo,1995-08-01
SNES,No Escape,Sony Imagesoft,1994-11-01
SNES,Nobunaga's Ambition,Koei,1993-12-01
SNES,Nobunaga's Ambition: Lord of Darkness,Koei,1994-10-01
SNES,Nolan Ryan's Baseball,Romstar,1992-02-01
SNES,Nosferatu,Seta,1995-10-01
SNES,Obitus,Bullet Proof Software,1994-09-01
SNES,Ogre Battle,Enix,1995-05-01
SNES,Olympic Summer Games,Black Pearl Software,1996-06-01
SNES,On the Ball,Taito Software,1992-11-01
SNES,Operation Europe: Path to Victory,Koei,1994-06-01
SNES,Operation Logic Bomb,Jaleco,1993-09-01
SNES,Operation Thunderbolt,Taito Software,1994-10-01
SNES,Oscar,Titus,1996-10-01
SNES,Out of This World,Interplay,1992-11-01
SNES,Out to Lunch,Mindscape,1993-11-01
SNES,Outlander,Mindscape,1993-04-01
SNES,P.T.O.: II,Koei,1995-12-01
SNES,P.T.O.: Pacific Theater of Operations,Koei,1993-09-01
